"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Проверяет, возможность создания проекта через UI","20015","checkCreateProject","Surefire suite","Tue Jul 01 21:42:35 GMT 2025","passed","Tue Jul 01 21:42:55 GMT 2025","tests.ui.ProjectTest","Surefire test","tests.ui.ProjectTest","checkCreateProject"
"Проверяет, что в проект можно добавить чек-лист","13898","checkCreatingCheckList","Surefire suite","Tue Jul 01 21:42:55 GMT 2025","failed","Tue Jul 01 21:43:09 GMT 2025","tests.ui.ProjectTest","Surefire test","tests.ui.ProjectTest","checkCreatingCheckList"
"Проверяет, возможность удаления проекта через UI","6684","checkDeletingProject","Surefire suite","Tue Jul 01 21:43:09 GMT 2025","passed","Tue Jul 01 21:43:16 GMT 2025","tests.ui.ProjectTest","Surefire test","tests.ui.ProjectTest","checkDeletingProject"
"","2686","checkCreateProject","Surefire suite","Tue Jul 01 21:42:32 GMT 2025","passed","Tue Jul 01 21:42:35 GMT 2025","tests.api.ProjectAPITest","Surefire test","tests.api.ProjectAPITest","checkCreateProject"
