"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Проверяет, возможность удаления проекта через UI","11544","checkDeletingProject","Surefire suite","Tue Jul 01 21:26:24 GMT 2025","failed","Tue Jul 01 21:26:36 GMT 2025","tests.ui.ProjectTest","Surefire test","tests.ui.ProjectTest","checkDeletingProject"
"","3056","checkCreateProject","Surefire suite","Tue Jul 01 21:25:48 GMT 2025","passed","Tue Jul 01 21:25:51 GMT 2025","tests.api.ProjectAPITest","Surefire test","tests.api.ProjectAPITest","checkCreateProject"
"Проверяет, что в проект можно добавить чек-лист","11625","checkCreatingCheckList","Surefire suite","Tue Jul 01 21:26:12 GMT 2025","failed","Tue Jul 01 21:26:24 GMT 2025","tests.ui.ProjectTest","Surefire test","tests.ui.ProjectTest","checkCreatingCheckList"
"Проверяет, возможность создания проекта через UI","20850","checkCreateProject","Surefire suite","Tue Jul 01 21:25:51 GMT 2025","failed","Tue Jul 01 21:26:12 GMT 2025","tests.ui.ProjectTest","Surefire test","tests.ui.ProjectTest","checkCreateProject"
