"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2674","checkCreateProject","Surefire suite","Wed Jul 02 08:11:16 GMT 2025","passed","Wed Jul 02 08:11:19 GMT 2025","tests.api.ProjectAPITest","Surefire test","tests.api.ProjectAPITest","checkCreateProject"
"Проверяет, возможность удаления проекта через UI","11736","checkDeletingProject","Surefire suite","Wed Jul 02 08:11:37 GMT 2025","failed","Wed Jul 02 08:11:49 GMT 2025","tests.ui.ProjectTest","Surefire test","tests.ui.ProjectTest","checkDeletingProject"
"Проверяет, возможность создания проекта через UI","9115","checkCreateProject","Surefire suite","Wed Jul 02 08:11:19 GMT 2025","passed","Wed Jul 02 08:11:28 GMT 2025","tests.ui.ProjectTest","Surefire test","tests.ui.ProjectTest","checkCreateProject"
"Проверяет, что в проект можно добавить чек-лист","9073","checkCreatingCheckList","Surefire suite","Wed Jul 02 08:11:28 GMT 2025","passed","Wed Jul 02 08:11:37 GMT 2025","tests.ui.ProjectTest","Surefire test","tests.ui.ProjectTest","checkCreatingCheckList"
