"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2839","checkCreateProject","Surefire suite","Tue Jul 01 21:17:45 GMT 2025","passed","Tue Jul 01 21:17:48 GMT 2025","tests.api.ProjectAPITest","Surefire test","tests.api.ProjectAPITest","checkCreateProject"
"Проверяет, возможность удаления проекта через UI","11808","checkDeletingProject","Surefire suite","Tue Jul 01 21:18:20 GMT 2025","failed","Tue Jul 01 21:18:32 GMT 2025","tests.ui.ProjectTest","Surefire test","tests.ui.ProjectTest","checkDeletingProject"
"Проверяет, возможность создания проекта через UI","19649","checkCreateProject","Surefire suite","Tue Jul 01 21:17:48 GMT 2025","failed","Tue Jul 01 21:18:08 GMT 2025","tests.ui.ProjectTest","Surefire test","tests.ui.ProjectTest","checkCreateProject"
"Проверяет, что в проект можно добавить чек-лист","11725","checkCreatingCheckList","Surefire suite","Tue Jul 01 21:18:08 GMT 2025","failed","Tue Jul 01 21:18:20 GMT 2025","tests.ui.ProjectTest","Surefire test","tests.ui.ProjectTest","checkCreatingCheckList"
