"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Проверяет, возможность создания проекта через UI","19503","checkCreateProject","Surefire suite","Wed Jul 02 09:42:17 GMT 2025","passed","Wed Jul 02 09:42:36 GMT 2025","tests.ui.ProjectTest","Surefire test","tests.ui.ProjectTest","checkCreateProject"
"","2819","checkCreateProject","Surefire suite","Wed Jul 02 09:42:14 GMT 2025","passed","Wed Jul 02 09:42:17 GMT 2025","tests.api.ProjectAPITest","Surefire test","tests.api.ProjectAPITest","checkCreateProject"
"Проверяет, что в проект можно добавить чек-лист","8990","checkCreatingCheckList","Surefire suite","Wed Jul 02 09:42:36 GMT 2025","passed","Wed Jul 02 09:42:45 GMT 2025","tests.ui.ProjectTest","Surefire test","tests.ui.ProjectTest","checkCreatingCheckList"
"Проверяет, возможность удаления проекта через UI","7979","checkDeletingProject","Surefire suite","Wed Jul 02 09:42:45 GMT 2025","passed","Wed Jul 02 09:42:53 GMT 2025","tests.ui.ProjectTest","Surefire test","tests.ui.ProjectTest","checkDeletingProject"
