"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Проверяет, возможность удаления проекта через UI","11649","checkDeletingProject","Surefire suite","Tue Jul 01 21:29:59 GMT 2025","failed","Tue Jul 01 21:30:10 GMT 2025","tests.ui.ProjectTest","Surefire test","tests.ui.ProjectTest","checkDeletingProject"
"Проверяет, возможность создания проекта через UI","12597","checkCreateProject","Surefire suite","Tue Jul 01 21:29:34 GMT 2025","failed","Tue Jul 01 21:29:47 GMT 2025","tests.ui.ProjectTest","Surefire test","tests.ui.ProjectTest","checkCreateProject"
"Проверяет, что в проект можно добавить чек-лист","11702","checkCreatingCheckList","Surefire suite","Tue Jul 01 21:29:47 GMT 2025","failed","Tue Jul 01 21:29:59 GMT 2025","tests.ui.ProjectTest","Surefire test","tests.ui.ProjectTest","checkCreatingCheckList"
"","2720","checkCreateProject","Surefire suite","Tue Jul 01 21:29:31 GMT 2025","passed","Tue Jul 01 21:29:34 GMT 2025","tests.api.ProjectAPITest","Surefire test","tests.api.ProjectAPITest","checkCreateProject"
