"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","3114","checkCreateProject","Surefire suite","Tue Jul 01 21:15:18 GMT 2025","passed","Tue Jul 01 21:15:21 GMT 2025","tests.api.ProjectAPITest","Surefire test","tests.api.ProjectAPITest","checkCreateProject"
"Проверяет, возможность удаления проекта через UI","11682","checkDeletingProject","Surefire suite","Tue Jul 01 21:15:55 GMT 2025","failed","Tue Jul 01 21:16:07 GMT 2025","tests.ui.ProjectTest","Surefire test","tests.ui.ProjectTest","checkDeletingProject"
"Проверяет, что в проект можно добавить чек-лист","11784","checkCreatingCheckList","Surefire suite","Tue Jul 01 21:15:43 GMT 2025","failed","Tue Jul 01 21:15:55 GMT 2025","tests.ui.ProjectTest","Surefire test","tests.ui.ProjectTest","checkCreatingCheckList"
"Проверяет, возможность создания проекта через UI","21587","checkCreateProject","Surefire suite","Tue Jul 01 21:15:21 GMT 2025","failed","Tue Jul 01 21:15:43 GMT 2025","tests.ui.ProjectTest","Surefire test","tests.ui.ProjectTest","checkCreateProject"
